Continent,Year,Rate
Africa,2004,17.30
Africa,2005,17.40
Africa,2006,16.30
Africa,2007,16.50
Africa,2008,16.40
Africa,2009,15.80
Africa,2010,15.90
Africa,2011,15.80
Africa,2012,15.50
Africa,2013,16.00
Africa,2014,16.40
Africa,2015,16.30
America,2004,19.30
America,2005,18.78
America,2006,19.03
America,2007,18.83
America,2008,19.60
America,2009,21.04
America,2010,23.06
America,2011,22.67
America,2012,22.07
America,2013,17.78
America,2014,18.66
America,2015,19.47
Asia,2004,3.36
Asia,2005,3.46
Asia,2006,3.28
Asia,2007,2.92
Asia,2008,3.69
Asia,2009,3.29
Asia,2010,3.45
Asia,2011,3.09
Asia,2012,3.09
Asia,2013,2.95
Asia,2014,2.76
Asia,2015,2.65
Europe,2004,4.20
Europe,2005,4.06
Europe,2006,3.88
Europe,2007,3.63
Europe,2008,3.64
Europe,2009,3.39
Europe,2010,3.12
Europe,2011,3.13
Europe,2012,3.02
Europe,2013,3.35
Europe,2014,3.24
Europe,2015,3.10
Oceanie,2004,3.46
Oceanie,2005,4.08
Oceanie,2006,4.57
Oceanie,2007,2.89
Oceanie,2008,3.30
Oceanie,2009,3.38
Oceanie,2010,4.09
Oceanie,2011,4.70
Oceanie,2012,4.62
Oceanie,2013,3.56
Oceanie,2014,2.43
Oceanie,2015,3.00
Australia,2004,1.30
Australia,2005,1.30
Australia,2006,1.40
Australia,2007,1.20
Australia,2008,1.20
Australia,2009,1.20
Australia,2010,1.00
Australia,2011,1.10
Australia,2012,1.10
Australia,2013,1.10
Australia,2014,1.00
Australia,2015,0.90
World,2004,6.40
World,2005,6.20
World,2006,6.10
World,2007,6.00
World,2008,6.00
World,2009,6.06
World,2010,6.02
World,2011,6.13
World,2012,6.16
World,2013,6.04
World,2014,5.94
World,2015,5.95
